questions,class
What does RCA stand for ?,ABBREVIATION
Why are ice cream sundaes called sundaes ?,DESCRIPTION
What 's the singular of dice ?,ENTITY
Who is Olive Oyl 's brother ?,HUMAN
"What 12-hour cold medicine uses the formula `` 6 , 6 , 12 '' in its ads ?",ENTITY
What was the first video ever made ?,ENTITY
What 's the favorite food of dragonflies ?,ENTITY
What king boycotted Prince Charles 's wedding ?,HUMAN
What does Nicholas Cage do for a living ?,HUMAN
What was the nickname of model Leslie Hornby ?,HUMAN
Where is the Taj Mahal ?,LOCATION
What 's distinctive about a palmiped 's feet ?,DESCRIPTION
In 139 the papal court was forced to move from Rome to where ?,LOCATION
What is the first day of the week ?,NUMERIC
What is goulash ?,DESCRIPTION
What capital is built around Monument Circle which contains soldiers and sailors monument ?,LOCATION
Name the men 's cologne that is associated with the sea .,ENTITY
How does a parachute work ?,DESCRIPTION
What is the first book of the Old Testament ?,ENTITY
How many of them are in sub-Saharan Africa ?,NUMERIC
"What is the history of Spartacus , the Roman slave and gladiator ?",DESCRIPTION
What famed wall supports the Badaling turret ?,LOCATION
"Who portrayed Fatman in the television show , `` Jake and the Fatman '' ?",HUMAN
What is object-oriented design ?,DESCRIPTION
What does Melissa mean ?,DESCRIPTION
What is form drag ?,DESCRIPTION
Who were John F. Kennedy 's dogs ?,ENTITY
Where are good science sites on the Internet ?,LOCATION
What woman was Time 's Man of the Year for 1952 ?,HUMAN
What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea ?,DESCRIPTION
Who wrote The Ugly Duckling ?,HUMAN
Who designed London Bridge ?,HUMAN
"How many miles are there between Tel Aviv , Israel and Memphis , Tennessee ?",NUMERIC
How many flavors of ice cream does Howard Johnson 's have ?,NUMERIC
What weapon did the crossed slits in English castles accommodate ?,ENTITY
How can I stop or slow down aging ?,DESCRIPTION
Where are the busiest Amtrak rail stations in the U.S. ?,LOCATION
How many freckles does Howdy Doody have on his face ?,NUMERIC
"How does Cos Cob , CT get its name ?",DESCRIPTION
Who was considered to be the father of psychology ?,HUMAN
How did Super President gain his powers on the animated series ?,DESCRIPTION
How tall was the animated King Kong ?,NUMERIC
What are values ?,DESCRIPTION
What is the population of Japan ?,NUMERIC
Name an American made motorcycle .,ENTITY
Where was the largest concentration camp in World War II ?,LOCATION
How much did Alaska cost when bought from Russia ?,NUMERIC
How many events make up the decathlon ?,NUMERIC
What causes blue balls ?,DESCRIPTION
What were the first bodies visited by spacecraft ?,LOCATION
Who succeeded Nikita Khrushchev as first secretary of the Communist Party ?,HUMAN
Who was chosen to be the first black chairman of the military Joint Chiefs of Staff ?,HUMAN
Name of the lady the Great Gatsby pines for ?,HUMAN
What does a chef coddle eggs in ?,ENTITY
How many bails are there in a cricket wicket ?,NUMERIC
What city was Martin Luther King Jr. assassinated in ?,LOCATION
"What celebrity couple , when going through a divorce , divided their toilet paper into two equal piles ?",HUMAN
Where 's the Bernini-Bristol Hotel ?,LOCATION
Who said `` What contemptible scoundrel stole the cork from my lunch ? '',HUMAN
What is the capital of Kosovo ?,LOCATION
What kind of company is 7-Eleven ?,HUMAN
How many letters appear with the numbers 2 to 9 on a telephone dial ?,NUMERIC
What were the first three cities to have a population of more than a million ?,LOCATION
How did the months of the year get there name ?,DESCRIPTION
What scale measures earthquakes ?,ENTITY
What is a glory hole ?,DESCRIPTION
What kind of education would you need to become an athletic trainer for the NFL ?,ENTITY
What are the major companies that are part of Dow Jones ?,HUMAN
What college did Joe Namath play football for ?,HUMAN
What was the minimum wage in 1991 ?,NUMERIC
What country is the biggest producer of tungsten ?,LOCATION
How does it make its colors ?,DESCRIPTION
What would happen to Canada if Quebec separated ?,DESCRIPTION
When is the Jimmy Buffett concert coming to the E center in Camden NJ ?,NUMERIC
What is ` Last Chance for Animals ' ?,DESCRIPTION
What European country abandoned postage stamps in 1923 because printing them cost more than their face value ?,LOCATION
What is the weather like on the moon ?,DESCRIPTION
Who was the 1st U.S. President ?,HUMAN
"What is the main language of Sao Paulo , Brazil ?",ENTITY
How much did Varian Associates try to sell its vacuum products division to the BOC group for ?,NUMERIC
What is the abbreviation of the International Olympic Committee ?,ABBREVIATION
How many people hike ?,NUMERIC
What are boxcars ?,DESCRIPTION
How do I keep cats out of my flower garden for good ?,DESCRIPTION
Who played Maria in the film West Side Story ?,HUMAN
What is a common anti-AIDS drug ?,ENTITY
Who bestowed great power upon Captain Britain ?,HUMAN
How can you tell when figs are ripe ?,DESCRIPTION
How do I love thee ?,DESCRIPTION
Which type of soda has the greatest amount of caffeine ?,ENTITY
What nationality is a Sicilian ?,LOCATION
What is the most common boy 's or girl 's name ?,HUMAN
"Who was the accused in The Trial of the Century , which opened Janurary 1 , 1935 ?",HUMAN
What color was the hundred billionth crayon made by Crayola ?,ENTITY
What soft drink tells us to `` Go Hawaiian '' ?,ENTITY
How does a hydroelectric dam work ?,DESCRIPTION
What is the oldest building in the United States ?,LOCATION
What is the West Virginia state animal ?,ENTITY
How many people died on South Carolina highways in 1998 ?,NUMERIC
What are binomial coefficients ?,DESCRIPTION
What was The Living Room War ?,DESCRIPTION
What are some translations of the phrase `` Thank-you '' ?,ENTITY
What is President Nixon 's birthdate ?,NUMERIC
What is `` the great American family cereal '' ?,ENTITY
"What was Suzy Parker doing to earn $1 , 000 in the early 1950 's ?",DESCRIPTION
How many people died in the Vietnam war ?,NUMERIC
What year did Montana become a state ?,NUMERIC
When was the USSR dissolved ?,NUMERIC
Why are there letters on the telephone ? Why are there no Q or Z ?,DESCRIPTION
What Japanese city was once called Edo ?,LOCATION
Who did the Seven Mules block for ?,HUMAN
What is the world 's largest distilling company ?,HUMAN
"What 's the name of the actress who starred in the movie , `` Silence of the Lambs '' ?",HUMAN
Where is one 's corpus callosum found ?,LOCATION
Who did Napolean defeat at Jena and Auerstadt ?,HUMAN
What household products are there for adult acne ?,ENTITY
What British prime minister and U.S. president were seventh cousins once-removed ?,HUMAN
What is the most expensive car in the world ?,ENTITY
What is an Angelus ?,DESCRIPTION
How many objects orbit the Earth ?,NUMERIC
What was the tragedy that struck the city of Dogtown in 1899 ?,ENTITY
What 's the oldest capital city in the Americas ?,LOCATION
What Leon Uris novel dealt with the Russian capture of Berlin ?,ENTITY
"What is the location of Edinburgh , Scotland ?",LOCATION
How many muscles does the average adult use when going for a walk ?,NUMERIC
How long do you have to live in a community to vote ?,NUMERIC
What was the name of the Titanic 's captain ?,HUMAN
Name of heroine in `` Scruples '' ?,HUMAN
How big is the Chappellet vineyard ?,NUMERIC
Jackson Pollock was a native of what country ?,LOCATION
What makes sperm ?,DESCRIPTION
How do I know how much money to save for retirement ?,DESCRIPTION
What does the dot on the letter i mean ?,DESCRIPTION
Who wrote The Godfather ?,HUMAN
What is the origin of the term soda jerk ?,DESCRIPTION
What is the frequency of VHF ?,NUMERIC
What sport does Chris Jogis play ?,ENTITY
What island was the target of the U.S. 's Operation Urgent Fury ?,LOCATION
What is a fear of robbers ?,ENTITY
What Nevil Shute novel is about the doomed survivors of a nuclear war ?,ENTITY
What is the cause of endangered species ?,DESCRIPTION
Which of the following TV newsmen was a Rhodes scholar ?,HUMAN
What did Warlock wear on his forehead in Marvel comics ?,ENTITY
What is the softest part of the body ?,ENTITY
What six-foot temperance advocate wielded her hatchet on saloons ?,HUMAN
How many islands does Fiji have ?,NUMERIC
What line divided the North and South in the U.S. Civil War ?,ENTITY
What is the definition of cecum ?,DESCRIPTION
Who invented volleyball ?,HUMAN
What 's the most powerful country in the world ?,LOCATION
How do I do this ?,DESCRIPTION
Name a ballet company Mikhail Baryshnikov has danced for ?,HUMAN
Who led the Normans to victory in the Battle of Hastings ?,HUMAN
What is the origin of the word `` Teddy bear '' ?,DESCRIPTION
What percentage of the world 's plant and animal species can be found in the Amazon forests ?,NUMERIC
"What 's the name of the star of the cooking show , `` Galloping Gourmet '' ?",HUMAN
Who invented the horoscope ?,HUMAN
What nutrients are for healthy bones and teeth ?,ENTITY
What are Fortune 500 companies ?,DESCRIPTION
What is the difference between ninjitsu and kung fu ?,DESCRIPTION
What king was forced to agree to the Magna Carta ?,HUMAN
How many electoral college votes does Colorado have ?,NUMERIC
What were Babe Ruth 's Christian names ?,HUMAN
How many bottles of wine were prisoners in the Bastille allowed per day ?,NUMERIC
Where do lobsters like to live ?,LOCATION
"Who was the first elected mayor of Washington , D.C. ?",HUMAN
What are the wolverine habits ?,ENTITY
How do you fix squeaky floors ?,DESCRIPTION
When was the Big Thompson flood ?,NUMERIC
What good are mosquitoes ?,DESCRIPTION
How do you get bubblegum out of carpet ?,DESCRIPTION
"What 's played at Wembley Stadium , London , every May ?",ENTITY
"Who wrote the sci-fi trilogy Foundation , Foundation and Empire , and Second Foundation ?",HUMAN
How many hours of work does it take a typist to complete a 100-page screenplay ?,NUMERIC
What is Alice Cooper 's real name ?,HUMAN
What is the Peloponnesian League ?,DESCRIPTION
What two cities usually mark the extremes of English Channel swims ?,LOCATION
How many times does the tide ebb and flow each day ?,NUMERIC
Who invented television ?,HUMAN
What are tannins ?,DESCRIPTION
How does General Mills manufacture Cheerios ?,DESCRIPTION
What was Jimmy Durante 's theme song ?,ENTITY
Name the person who burst through the screen in the Lite beer commercials .,HUMAN
What delicacy is known indelicately as pickled roe ?,ENTITY
What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?,ENTITY
What U.S. vice-president killed Alexander Hamilton in a duel ?,HUMAN
What 's the Fahrenheit equivalent of zero degrees centigrade ?,NUMERIC
How many muscles does an oyster have ?,NUMERIC
"What card game derived its name from biritch , or Russian Whist ?",ENTITY
Who wrote `` Much Ado About Nothing '' ?,HUMAN
What is the collective noun for geese ?,ENTITY
What personality traits are Capricorns said to have ?,DESCRIPTION
Where can I get information concerning child custody files for the State of Utah ?,LOCATION
What was John F. Kennedy 's 1960 campaign song ?,ENTITY
What Louisiana Senator won a seat that had been held by his father and mother ?,HUMAN
What hymn did John Steinbeck get his title The Grapes of Wrath from ?,ENTITY
What invention does the principle of conservation of energy make impossible ?,ENTITY
What 's the highest-ranking suit in bridge ?,ENTITY
Who won Oscars for her roles in Gone with the Wind and A Streetcar Named Desire ?,HUMAN
What writer is famous for physically putting himself into the center of his subject matter ?,HUMAN
Who 's the lead singer of the Led Zeppelin band ?,HUMAN
"In Dana 's `` Two Years Before the Mast , '' what seafarers lived in an abandoned oven on the beach at San Diego ?",HUMAN
Who plays the cop in the movie `` Kindergarten Cop '' ?,HUMAN
How many characters makes up a word for typing test purposes ?,NUMERIC
What non-mechanical sport achieves the highest speeds ?,ENTITY
What was the 1940 annual salary for a boilermaker ?,NUMERIC
"Who created Billy Pilgrim , a survivor of the Dresden firestorm ?",HUMAN
"What indoor sport saw the Phoenix Inferno become the Phoenix Pride on July 14 , 1983 , when the temperature hit 111 degrees ?",ENTITY
What country saw the origin of the Asian Flu ?,LOCATION
Who is the richest woman in the world ?,HUMAN
Where can I take a test that will tell me what I should be when I grow up ?,LOCATION
What caused the death of Bob Marley ?,DESCRIPTION
"What 's Mrs. Bridges 's job on TV 's Upstairs , Downstairs ?",HUMAN
What daily newspaper will `` help you see clearer across the USA '' ?,ENTITY
What lake in Scotland is said to hold one or more monsters ?,LOCATION
Who were the 1974 Oscar winners ?,HUMAN
What kind of business is 7-Eleven ?,HUMAN
What is Sinn Fein ?,DESCRIPTION
"What is the name of the rare neurological disease with symptoms such as : involuntary movements , tics , swearing , and incoherent vocalizations , grunts , shouts , etc. ?",ENTITY
What do river otters eat ?,ENTITY
"Who wrote the book , `` Huckleberry Finn '' ?",HUMAN
Who would you use the Heimlich maneuver on ?,HUMAN
What famed library can you reach by dialing 22-287-5 ?,LOCATION
What five-time winner of the Kentucky Derby lost his first 25 races ?,ENTITY
What did Vasco da Gama discover ?,ENTITY
What is Megan 's law ?,DESCRIPTION
Where can I get a complete listing of showtimes in my area ?,LOCATION
Where 's Montenegro ?,LOCATION
What is usenet for the Internet ?,DESCRIPTION
What are field effect transistors ?,DESCRIPTION
What was the killer whale who died at Sea World of a fungal infection named ?,ENTITY
What is witch hazel ?,DESCRIPTION
What is state tree of Nebraska ?,ENTITY
Where is Glasgow ?,LOCATION
Why is Chicago named Chicago ?,DESCRIPTION
What three colors of ink are used to print a U.S. dollar bill ?,ENTITY
What exactly is the purpose of the anteater ?,DESCRIPTION
What is the correct way to use `` may '' vs. `` might '' ?,ENTITY
What North American city boasts the biggest Polish population ?,LOCATION
"What radio , TV and movie character did Jackie Gleason and William Bendix play ?",HUMAN
"Where is it planned to berth the merchant ship , Lane Victory , which Merchant Marine veterans are converting into a floating museum ?",LOCATION
What does a pedometer measure ?,ENTITY
What is Maurizio Pellegrin 's age ?,NUMERIC
How many thousands of students attend the University of Massachusetts ?,NUMERIC
Name the U.S. Senate majority leader and the Speaker of the House .,HUMAN
What name did football 's New York Titans adopt in 1963 ?,HUMAN
What female suspect in the game of Clue is single ?,HUMAN
Who owns CNN ?,HUMAN
About how many Americans are still unaccounted for from the Vietnam war ?,NUMERIC
What is the chemical reactivity of neon ?,NUMERIC
What is an auto-commentary ?,DESCRIPTION
What is the oldest website on the Internet ?,LOCATION
What is deconstructionism ?,DESCRIPTION
What did Lenny Bruce say that got him arrested ?,DESCRIPTION
What newspaper returned a Pulitzer Prize for the fraudulent story Jimmy 's World ?,ENTITY
What is a fear of speaking ?,ENTITY
What was Hitler 's favorite movie ?,ENTITY
Why do airliners crash vs. gliding down ?,DESCRIPTION
What are those little blue reflectors in the middle of the road for ?,DESCRIPTION
"What member of The Little Rascals has an on-again , off-again sweetheart in Darla Hood ?",HUMAN
How is saline used in medicine ?,DESCRIPTION
"What is the name of the ` female ' counterpart to El Nino , which results in cooling temperatures and very dry weather ?",ENTITY
"What incident of 1933 did the German Nazis use to justify emergency decrees , imprisoning opponents and vesting more power in themselves ?",ENTITY
What country are you visiting if you land at President Duvalier Airport ?,LOCATION
What attorney-general ordered the closing of Alcatraz ?,HUMAN
What is the capital of Congo ?,LOCATION
What is the text of the Fifth Amendment ?,DESCRIPTION
What is a country that starts with the letter x ?,LOCATION
What countries earn the most from tourism ?,LOCATION
What is the Internet2 ?,DESCRIPTION
Which city in China has the largest number of foreign financial companies ?,LOCATION
When are the Oscars Academy Awards in 1999 ?,NUMERIC
Who was the prophet of the Jewish people ?,HUMAN
What is the most common name ?,HUMAN
Who was the oldest U.S. president ?,HUMAN
"What common plant has a button , cap , cup , gills , and ring ?",ENTITY
When was Dubai 's first concrete house built ?,NUMERIC
What is the Milky Way ?,DESCRIPTION
What is Remembrance Day all about ?,DESCRIPTION
What food did Marco Polo introduce into Italy from the court of Kubla Khan ?,ENTITY
What diamond producer controls about 80% of the world 's diamonds ?,HUMAN
Who is the prophet of the religion of Islam ?,HUMAN
Who portrayed Maggio in the film From Here to Eternity ?,HUMAN
Where are zebras most likely found ?,LOCATION
What are the odds of giving birth to twins ?,NUMERIC
"What is the best place to live in the world , considering climate , civilization ?",LOCATION
What is meant by `` capital market '' ?,DESCRIPTION
"In My Antonia , how is Mr. Shimerda out of place on the farm ?",DESCRIPTION
What ship did Lloyd M. Bucher command ?,ENTITY
Name a medicine commonly used to combat AIDS ?,ENTITY
What is the difference between hair and fur ?,DESCRIPTION
What is the difference between love and infatuation ?,DESCRIPTION
Name the cartoon genie conjured by the magic ring shared by Nancy and Chuck .,HUMAN
What foods contain vitamin B12 ?,ENTITY
What is the amount of money owed for illegally having a dog on a beach ?,NUMERIC
What are the first and last letters of the Greek alphabet ?,ENTITY
What is the web address at which I can find the e-mail address of a member of the US House of Representatives ?,LOCATION
How big is the largest diamond ?,NUMERIC
What are some ways to help someone with Chicken Pox ?,ENTITY
How do I find out the exact time of a sunset for a particular day ?,DESCRIPTION
When did the original Howdy Doody show go off the air ?,NUMERIC
How many languages are there in the world ?,NUMERIC
Who was Picasso ?,HUMAN
Who were the only two bald U.S. Presidents ?,HUMAN
Which member of Charlie 's Angels sang vocals for Josie and the Pussycats ?,HUMAN
What river flows past the Temple of Karnak ?,LOCATION
What comedian was The Perfect Fool ?,HUMAN
What are the benefits of a rowing machine ?,DESCRIPTION
Where do you find information about the Queensland National Competition Policy,LOCATION
What 's a `` coup de poing '' to a French boxer ?,DESCRIPTION
What 's the difference between carelessness and carefreeness ?,DESCRIPTION
What is the Islamic counterpart to the Red Cross ?,ENTITY
Why does tuberculosis afflict people ?,DESCRIPTION
Who loved Flash Gordon besides Dale ?,HUMAN
What is tyvek ?,DESCRIPTION
What do humans catch zoonose diseases from ?,ENTITY
How did Asia get its name ?,DESCRIPTION
What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?,ENTITY
Where can I get information on the original 13 US colonies ?,LOCATION
For what disease is the drug Sinemet used as a treatment ?,ENTITY
What are three ways in which wind is created on the earth ?,ENTITY
What gender is not allowed to vote in Kuwait ?,ENTITY
How many inches over six feet is Tom Selleck ?,NUMERIC
What is the name of the disease that actress Hunter Tylo 's baby girl has ?,ENTITY
Who 's the only president buried in Washington,HUMAN
How much could you rent a Volkswagen bug for in 1966 ?,NUMERIC
Whose singing voice was dubbed in for Natalie Wood in West Side Story and Audrey Hepburn in My Fair Lady ?,HUMAN
"What is the mean income of the top 10% , top 5% , and top 1% ?",NUMERIC
What North American city sprouts the most parking meters ?,LOCATION
What is the largest and most expensive freeway construction project in the U.S. right now ?,LOCATION
What can I do to get into an Ivy League school ?,DESCRIPTION
What film did Louise Fletcher win the best actress Oscar for ?,ENTITY
Where did Gulliver find a race of tiny people ?,LOCATION
"What 1950 film won seven Oscars , including best picture ?",ENTITY
How much stronger is the new vitreous carbon material invented by the Tokyo Institute of Technology compared with the material made from cellulose ?,NUMERIC
How much do tuberculosis combatting drugs cost ?,NUMERIC
President Bush compared Saddam Hussein to whom ?,HUMAN
What 's the name of Pittsburgh 's baseball team ?,HUMAN
What Shakespeare play opens with the line : `` Now is the winter of our discontent.. . '' ?,ENTITY
"What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?",HUMAN
Who created the character James Bond ?,HUMAN
What type of exercise burns the most calories ?,ENTITY
What is `` the only cigarette made with no leftovers '' ?,DESCRIPTION
Where did the Japanese Imperial Forces surrender to end WWII ?,LOCATION
What is Mikhail Gorbachev 's middle initial ?,ABBREVIATION
How many rows of whiskers does a cat have ?,NUMERIC
What British general surrendered to the colonial army at Saratoga ?,HUMAN
"How can people from Ireland come to the U.S. , work , and then return to Ireland ?",DESCRIPTION
"What product 's ads claim that it `` eliminates odors , kills household germs , mold , and mildew '' ?",ENTITY
What is the world population as of today ?,NUMERIC
What is the history of Buffalo chicken wings ?,DESCRIPTION
What is humidity ?,DESCRIPTION
"What kind of creatures are black , yellow , and brown bullheads ?",ENTITY
What city would you be in if you were feeding the pigeons in the Piazza San Marco ?,LOCATION
What artist 's studio was the Bateau-Lavoir in Montmartre ?,HUMAN
What is the name of the planet that the Ewoks live on ?,LOCATION
How many words are there in the Spanish language ?,NUMERIC
Where is there information on the novel `` El Cid '' ?,LOCATION
What is the chemical formula for napalm ?,ENTITY
What is yohimbine ?,DESCRIPTION
What is `` Chicago Hope '' ?,DESCRIPTION
How many members of a family could be drafted in the U.S. military during World War II ?,NUMERIC
"Who wrote the song , `` Silent Night '' ?",HUMAN
What company is the largest Japanese ship builder ?,HUMAN
What does the `` blue ribbon '' stand for ?,ABBREVIATION
What is the average date when most malls begin putting up Christmas holiday decorations ?,NUMERIC
How many characters are in the Chinese alphabet ?,NUMERIC
Where is Burma ?,LOCATION
Who wrote The Collector ?,HUMAN
Which major diamond producer is based in South Africa ?,HUMAN
Who was Samuel Johnsons 's friend and biographer ?,HUMAN
What kind of women gave Sigmund Freud erotic dreams ?,HUMAN
What are the Cleveland Indians also called ?,ENTITY
What commodity 's shortage was the largest single factor in keeping North American cars off the roads during World War II ?,ENTITY
How many hummingbird eggs could fit in one ostrich egg ?,NUMERIC
"Who wrote the bestselling Missionary Travels and Researches in South Africa , published in 1857 ?",HUMAN
Who played the father on `` Charles in Charge '' ?,HUMAN
What is the gestation period for human pregnancies ?,NUMERIC
Where did the name Daniel originate ?,LOCATION
What are common methods used to regulate monopolies ?,ENTITY
What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?,DESCRIPTION
How long does the average domesticated ferret live ?,NUMERIC
Name the Islamic counterpart to the Red Cross .,ENTITY
What are the historical trials following World War II called ?,ENTITY
What states do not have state income tax ?,LOCATION
What city has the two steepest streets in the U.S. ?,LOCATION
What is Margaret Thatcher known for ?,DESCRIPTION
Name the country of giants twelve times the size of man in `` Gulliver 's Travels . '',LOCATION
What 's men 's par on a 455-yard golf hole ?,NUMERIC
What four elements make up 90 percent of the human body ?,ENTITY
How many countries are there ?,NUMERIC
Where does most of the marijuana entering the United States come from ?,LOCATION
Stuart Hamblen is considered to be the first singing cowboy of which medium ?,ENTITY
What is Steve Rogers 's profession when he 's not Captain America ?,HUMAN
What is the most common cancer ?,ENTITY
Who are the top 10 richest people in the world ?,HUMAN
How do I contact Answers.com direct ?,DESCRIPTION
What causes a person to have constantly sweaty hands and feet ?,DESCRIPTION
What happened to Answers.com ?,DESCRIPTION
What is the spectrum of a sine wave ?,DESCRIPTION
What ethnic group introduced the idea of potlatch ?,HUMAN
What is a person 's socioeconomic position ?,DESCRIPTION
What do you say to a friend who ignores you for other friends ?,DESCRIPTION
How many yards are in 1 mile ?,NUMERIC
What actor was the first man to appear on the cover of McCall 's ?,HUMAN
"What does R.E.M. stand for , as in the rock group R.E.M. ?",ABBREVIATION
What Cruise Line does Kathie Lee Gifford advertise for ?,HUMAN
What does the name Jenna mean ?,DESCRIPTION
Why do girls have to wear training bras ?,DESCRIPTION
When was the first successful heart transplant for a human ?,NUMERIC
How did Edith Bunker die ?,DESCRIPTION
"What country boasts Cawdor Castle , Glamis Castle , and Blair Castle ?",LOCATION
Define Spumante .,DESCRIPTION
What does pH stand for ?,ABBREVIATION
What country is Mount Everest in ?,LOCATION
Which country is the largest country in Latin America ?,LOCATION
Name the Four Horsemen of the Apocalypse .,HUMAN
What are geckos ?,DESCRIPTION
What is the name of a book written by Aaron Hass ?,ENTITY
What is cosmology ?,DESCRIPTION
How many watts make a kilowatt ?,NUMERIC
What TV series features the adventures of a married couple named Jonathan and Jennifer ?,ENTITY
What female faith healer wrote the inspirational book I Believe in Miracles ?,HUMAN
Who was Jinnah ?,HUMAN
What did Esquire name Ash Hole of the Year for 1980 ?,ENTITY
Where did King Francis I hang the `` Mona Lisa '' when he owned it ?,LOCATION
What 's been the ruin of many a poor boy in New Orleans ?,ENTITY
What is habeas corpus ?,DESCRIPTION
How do you use an intranet ?,DESCRIPTION
What famous husband-and-wife team did radio ads for Blue Nun wine ?,HUMAN
How many times has Harold Stassen announced a drive for the White House ?,NUMERIC
What are bottle caps with presidents ' pictures inside worth ?,NUMERIC
Where can I find the history of the Hungarian language ?,LOCATION
"Why do USA fax machines not work in UK , NNP ?",DESCRIPTION
What cigarette is `` a whole new world '' ?,ENTITY
Who tramped through Florida looking for the Fountain of Youth ?,HUMAN
"In 1990 , what day of the week did Christmas fall on ?",NUMERIC
What is the name of the song that Dracula plays on the organ ?,ENTITY
What two animals are specifically mentioned as being in Noah 's Ark ?,ENTITY
What is federal income tax ?,DESCRIPTION
What was the name of the Confederate mounted guerrilla group with which Jesse James and Coleman Younger had ridden ?,HUMAN
"What disease plagued Europe , Africa and Asia ?",ENTITY
What card game can feature dealer 's choice ?,ENTITY
How many American soldiers are stationed in South Korea ?,NUMERIC
What is a fear of failure ?,ENTITY
How many feet more than 2 is the average height of the Great Wall of China ?,NUMERIC
What was the verdict in the 1925 trial of John T. Scopes ?,DESCRIPTION
What is the best way to travel in Japan ?,ENTITY
How long ago did the Anglican church part from the Vatican ?,NUMERIC
How much did Lucy Van Pelt originally charge for psychiatric sessions ?,NUMERIC
Who followed up his first two underwater thrillers with The Girl of the Sea of Cortez ?,HUMAN
When was the Parthenon built ?,NUMERIC
What 1895 H.G. Wells novel was written under the title The Chronic Argonauts ?,ENTITY
What is a common dolphin ?,DESCRIPTION
How is Answers.com funded ?,DESCRIPTION
How long does a pig 's orgasm last ?,NUMERIC
What U.S. state comes last in an alphabetical list ?,LOCATION
How many mountains have been named for Presidents in the continental USA ?,NUMERIC
What are the unemployment statistics for the years 1965 and 1990 ?,NUMERIC
What does BUD stand for ?,ABBREVIATION
Who is the one Independent Member of Congress ?,HUMAN
What is a society ruled by elders ?,HUMAN
What two presidents of the U.S. published books of poetry ?,HUMAN
Which of the Seven Dwarfs comes first alphabetically ?,HUMAN
What professional cricketer 's son wrote The War of the Worlds in 1898 ?,HUMAN
What condiment do the Dutch dip their French fries in ?,ENTITY
Which comic strip was never turned into a Broadway musical ?,ENTITY
In what war was the first submarine used ?,ENTITY
CPR is the abbreviation for what ?,ABBREVIATION
How many inches apart are adjacent pins in tenpin bowling ?,NUMERIC
How many miles of corridors are in The Pentagon ?,NUMERIC
How do you find the area of a circle ?,DESCRIPTION
What U.S. state includes the San Juan Islands ?,LOCATION
"What English playwright penned : `` Where the bee sucks , so shall I '' ?",HUMAN
What do the red-and-white stripes on a barbershop pole stand for ?,DESCRIPTION
Name the ship Beany and Cecil sailed .,ENTITY
How deep is a fathom ?,NUMERIC
What was the `` Dead Man 's Hand '' ?,DESCRIPTION
What was Fred Astaire 's dancing partner 's name ?,HUMAN
How do I find a web address for a company ?,DESCRIPTION
What is the highest number of home runs on record for any one game ?,NUMERIC
What are some of Australia 's native flora ?,ENTITY
What heavyweight boxer was known as The Wild Bull of the Pampas ?,HUMAN
How many quarts of whole milk is needed to make one pound of butter ?,NUMERIC
What London street claims to be the world center for men 's tailoring ?,LOCATION
How old is the universe ?,NUMERIC
When does the Bible say the seasons started ?,NUMERIC
What animal has been called The Poor Man 's Cow ?,ENTITY
Where did the marriage ceremony come from ?,DESCRIPTION
What bordering country is due north of Costa Rica ?,LOCATION
What Morris West novel deals with Russian bishop who becomes Pope ?,ENTITY
What nation boarders Mozambique ?,LOCATION
What does EKG stand for ?,ABBREVIATION
The Olympic Games in which year allowed Nadia Comaneci to become popular ?,NUMERIC
What TV talk-show host lends his name to a line of men 's clothing ?,HUMAN
What soft drink held a national flavor poll in 1967 ?,ENTITY
Colin Powell is famous for what ?,DESCRIPTION
The Jewish alphabet is known as what ?,ENTITY
What is a fear of home surroundings ?,ENTITY
How many people die of tuberculosis yearly ?,NUMERIC
What is a specimen of basidiomycetes ?,DESCRIPTION
Who invented the electric guitar ?,HUMAN
What is the capital of California ?,LOCATION
What country comes last in an alphabetical list ?,LOCATION
What are faults in the earth 's crust ?,DESCRIPTION
What was an `` Asiento '' ?,DESCRIPTION
What kind of greeting is appropriate to send on Yom Kippur ?,DESCRIPTION
How hot should the oven be when baking Peachy Oat Muffins ?,NUMERIC
What is dextropropoxyphen napsylate ?,DESCRIPTION
What Don McLean song laments the day Buddy Holly died ?,ENTITY
What is Srpska Krajina ?,DESCRIPTION
How was the Kennedy money made ?,DESCRIPTION
What country is the worlds leading supplier of cannabis ?,LOCATION
What was the orca 's name that died of a fungal infection at Sea World ?,ENTITY
Who is the President of Pergament ?,HUMAN
What city is the Kentucky Horse Park near ?,LOCATION
What does Esa-Pekka Salonen look like ?,DESCRIPTION
"What cereal goes `` snap , crackle , pop '' ?",ENTITY
How did water appear on the earth ?,DESCRIPTION
Where did Hillary Clinton graduate college ?,LOCATION
What does Robert mean ?,DESCRIPTION
How do anti-locking brakes work ?,DESCRIPTION
What colors is magenta made of ?,ENTITY
How does the chain of command work inside an US army Apache helicopter ?,DESCRIPTION
Which medium is Hamblen the first singing cowboy in ?,ENTITY
What is the name of Jamiroquai new album ?,ENTITY
What is a hormone ?,DESCRIPTION
What American naval officer broke Japan 's isolationist policy in 1853 ?,HUMAN
What is fellatio ?,DESCRIPTION
